cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type,generation_status
CBRO#0038,Crypturellus duidae,Crypturellus,duidae,Tinamidae,Tinamiformes,inhambu-de-pé-cinza,Gray-legged Tinamou,BR,False,False,False,True,,BR#,Gray-legged Tinamou,gyltin1,True,binomial,False,Grey-legged Tinamou,True,binomial,True,qwen/qwen3.7-plus,Grey-legged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,20914,60,997,1057,,grey legged tinamou,gray legged tinamou,False,True,avilist,0,correct,complete
CBRO#0039,Crypturellus erythropus,Crypturellus,erythropus,Tinamidae,Tinamiformes,inhambu-de-perna-vermelha,Red-legged Tinamou,BR,False,False,False,False,,BR,Red-legged Tinamou,reltin1,True,binomial,False,Red-legged Tinamou,True,binomial,False,qwen/qwen3.7-plus,Red-legged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,14242,60,718,778,,red legged tinamou,red legged tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0042,Crypturellus noctivagus,Crypturellus,noctivagus,Tinamidae,Tinamiformes,jaó-do-sul,Yellow-legged Tinamou,BR,True,False,False,False,,"BR, En",Yellow-legged Tinamou,yeltin1,True,binomial,False,Yellow-legged Tinamou,True,binomial,False,qwen/qwen3.7-plus,Southern Nothura,stop,False,"{""effort"": ""minimal""}",reasoning,45103,57,4096,4153,,southern nothura,yellow legged tinamou,False,False,,4,hallucinated,complete
CBRO#0044,Crypturellus atrocapillus,Crypturellus,atrocapillus,Tinamidae,Tinamiformes,inhambu-de-coroa-preta,Black-capped Tinamou,BR,False,False,False,False,,BR,Black-capped Tinamou,blctin1,True,binomial,False,Black-capped Tinamou,True,binomial,False,qwen/qwen3.7-plus,Black-capped Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,54428,60,1966,2026,,black capped tinamou,black capped tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0046,Crypturellus variegatus,Crypturellus,variegatus,Tinamidae,Tinamiformes,inhambu-anhangá,Variegated Tinamou,BR,False,False,False,False,,BR,Variegated Tinamou,vartin1,True,binomial,False,Variegated Tinamou,True,binomial,False,qwen/qwen3.7-plus,Tao Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,38350,57,1496,1553,,tao tinamou,variegated tinamou,False,False,,4,hallucinated,complete
CBRO#0047,Crypturellus brevirostris,Crypturellus,brevirostris,Tinamidae,Tinamiformes,inhambu-carijó,Rusty Tinamou,BR,False,False,False,False,,BR,Rusty Tinamou,rustin1,True,binomial,False,Rusty Tinamou,True,binomial,False,qwen/qwen3.7-plus,Variegated Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,27106,57,1084,1141,,variegated tinamou,rusty tinamou,False,False,,1,intra_genus,complete
CBRO#0048,Crypturellus bartletti,Crypturellus,bartletti,Tinamidae,Tinamiformes,inhambu-anhangaí,Bartlett's Tinamou,BR,False,False,False,False,,BR,Bartlett's Tinamou,bartin2,True,binomial,False,Bartlett's Tinamou,True,binomial,False,qwen/qwen3.7-plus,Small-billed tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,13503,58,577,635,,small billed tinamou,bartletts tinamou,False,False,,1,intra_genus,complete
CBRO#0049,Crypturellus parvirostris,Crypturellus,parvirostris,Tinamidae,Tinamiformes,inhambu-chororó,Small-billed Tinamou,BR,False,False,False,False,,BR,Small-billed Tinamou,smbtin1,True,binomial,False,Small-billed Tinamou,True,binomial,False,qwen/qwen3.7-plus,Spotted Nothura,stop,False,"{""effort"": ""minimal""}",reasoning,74922,58,3249,3307,,spotted nothura,small billed tinamou,False,False,,2,intra_family,complete
CBRO#0050,Crypturellus tataupa,Crypturellus,tataupa,Tinamidae,Tinamiformes,inhambu-chintã,Tataupa Tinamou,BR,False,False,False,False,,BR,Tataupa Tinamou,tattin1,True,binomial,False,Tataupa Tinamou,True,binomial,False,qwen/qwen3.7-plus,Brazilian Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,11688,57,529,586,,brazilian tinamou,tataupa tinamou,False,False,,1,intra_genus,complete
CBRO#0054,Rhynchotus rufescens,Rhynchotus,rufescens,Tinamidae,Tinamiformes,perdiz,Red-winged Tinamou,BR,False,False,False,False,,BR,Red-winged Tinamou,rewtin1,True,binomial,False,Red-winged Tinamou,True,binomial,False,qwen/qwen3.7-plus,partridge,stop,False,"{""effort"": ""minimal""}",reasoning,11453,55,461,516,,partridge,red winged tinamou,False,False,,4,hallucinated,complete
CBRO#0058,Nothura boraquira,Nothura,boraquira,Tinamidae,Tinamiformes,codorna-do-nordeste,White-bellied Nothura,BR,False,False,False,False,,BR,White-bellied Nothura,whbnot1,True,binomial,False,White-bellied Nothura,True,binomial,False,qwen/qwen3.7-plus,White throated bobwhite,stop,False,"{""effort"": ""minimal""}",reasoning,23573,59,1145,1204,,white throated bobwhite,white bellied nothura,False,False,,4,hallucinated,complete
CBRO#0059,Nothura minor,Nothura,minor,Tinamidae,Tinamiformes,codorna-mineira,Lesser Nothura,BR,False,False,False,False,,BR,Lesser Nothura,lesnot1,True,binomial,False,Lesser Nothura,True,binomial,False,qwen/qwen3.7-plus,Crested bobwhite,stop,False,"{""effort"": ""minimal""}",reasoning,16500,57,833,890,,crested bobwhite,lesser nothura,False,False,,4,hallucinated,complete
CBRO#0060,Nothura maculosa,Nothura,maculosa,Tinamidae,Tinamiformes,codorna-amarela,Spotted Nothura,BR,False,False,False,False,,BR,Spotted Nothura,sponot1,True,binomial,False,Spotted Nothura,True,binomial,False,qwen/qwen3.7-plus,yellow-breasted brushfinch,stop,False,"{""effort"": ""minimal""}",reasoning,1479868,57,81931,81988,,yellow breasted brushfinch,spotted nothura,False,False,,4,hallucinated,complete
CBRO#0065,Taoniscus nanus,Taoniscus,nanus,Tinamidae,Tinamiformes,codorna-carapé,Dwarf Tinamou,BR,False,False,False,False,,BR,Dwarf Tinamou,dwatin1,True,binomial,False,Dwarf Tinamou,True,binomial,False,qwen/qwen3.7-plus,Crested Bobwhite,stop,False,"{""effort"": ""minimal""}",reasoning,11979,56,564,620,,crested bobwhite,dwarf tinamou,False,False,,4,hallucinated,complete
CBRO#0069,Anhima cornuta,Anhima,cornuta,Anhimidae,Anseriformes,anhuma,Horned Screamer,BR,False,False,False,False,,BR,Horned Screamer,horscr1,True,binomial,False,Horned Screamer,True,binomial,False,qwen/qwen3.7-plus,Southern Screamer,stop,False,"{""effort"": ""minimal""}",reasoning,13478,54,683,737,,southern screamer,horned screamer,False,False,,2,intra_family,complete
CBRO#0071,Chauna torquata,Chauna,torquata,Anhimidae,Anseriformes,tachã,Southern Screamer,BR,False,False,False,False,,BR,Southern Screamer,souscr1,True,binomial,False,Southern Screamer,True,binomial,False,qwen/qwen3.7-plus,White-winged Flufftail,stop,False,"{""effort"": ""minimal""}",reasoning,29916,54,2512,2566,,white winged flufftail,southern screamer,False,False,,4,hallucinated,complete
CBRO#0075,Dendrocygna bicolor,Dendrocygna,bicolor,Anatidae,Anseriformes,marreca-caneleira,Fulvous Whistling-Duck,BR,False,False,False,False,W,"BR, VI (W)",Fulvous Whistling-Duck,fuwduc,True,binomial,False,Fulvous Whistling Duck,True,binomial,True,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,9969,59,483,542,,brazilian teal,fulvous whistling duck,False,False,,2,intra_family,complete
CBRO#0076,Dendrocygna viduata,Dendrocygna,viduata,Anatidae,Anseriformes,irerê,White-faced Whistling-Duck,BR,False,False,False,False,,BR,White-faced Whistling-Duck,wfwduc1,True,binomial,False,White-faced Whistling Duck,True,binomial,True,qwen/qwen3.7-plus,Orinoco Goose,stop,False,"{""effort"": ""minimal""}",reasoning,15884,55,800,855,,orinoco goose,white faced whistling duck,False,False,,2,intra_family,complete
CBRO#0077,Dendrocygna autumnalis,Dendrocygna,autumnalis,Anatidae,Anseriformes,marreca-cabocla,Black-bellied Whistling-Duck,BR,False,False,False,False,,BR,Black-bellied Whistling-Duck,bbwduc,True,binomial,False,Black-bellied Whistling Duck,True,binomial,True,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,10383,59,388,447,,brazilian teal,black bellied whistling duck,False,False,,2,intra_family,complete
CBRO#0081,Cygnus melancoryphus,Cygnus,melancoryphus,Anatidae,Anseriformes,cisne-de-pescoço-preto,Black-necked Swan,BR,False,False,False,False,,BR,Black-necked Swan,blnswa2,True,binomial,False,Black-necked Swan,True,binomial,False,qwen/qwen3.7-plus,Black-necked swan,stop,False,"{""effort"": ""minimal""}",reasoning,12696,60,645,705,,black necked swan,black necked swan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0083,Coscoroba coscoroba,Coscoroba,coscoroba,Anatidae,Anseriformes,capororoca,Coscoroba Swan,BR,False,False,False,False,,BR,Coscoroba Swan,cosswa1,True,binomial,False,Coscoroba Swan,True,binomial,False,qwen/qwen3.7-plus,White-winged Flufftail,stop,False,"{""effort"": ""minimal""}",reasoning,44364,56,4664,4720,,white winged flufftail,coscoroba swan,False,False,,4,hallucinated,complete
CBRO#0089,Neochen jubata,Neochen,jubata,Anatidae,Anseriformes,pato-corredor,Orinoco Goose,BR,False,False,False,False,,BR,Maned Duck,manduc1,True,epithet_family,True,Orinoco Goose,True,binomial,False,qwen/qwen3.7-plus,Orinoco Goose,stop,False,"{""effort"": ""minimal""}",reasoning,15390,57,563,620,,orinoco goose,orinoco goose,True,True,cbro;avilist,0,correct,complete
CBRO#0086,Chloephaga picta,Chloephaga,picta,Anatidae,Anseriformes,ganso-de-magalhães,Upland Goose,VA,False,False,False,False,S,VA (S),Upland Goose,uplgoo1,True,binomial,False,Upland Goose,True,binomial,False,qwen/qwen3.7-plus,Upland goose,stop,False,"{""effort"": ""minimal""}",reasoning,21366,60,915,975,,upland goose,upland goose,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0091,Cairina moschata,Cairina,moschata,Anatidae,Anseriformes,pato-do-mato,Muscovy Duck,BR,False,False,False,False,,BR,Muscovy Duck,musduc,True,binomial,False,Muscovy Duck,True,binomial,False,qwen/qwen3.7-plus,Brazilian teal,stop,False,"{""effort"": ""minimal""}",reasoning,6685,57,304,361,,brazilian teal,muscovy duck,False,False,,2,intra_family,complete
CBRO#0093,Sarkidiornis sylvicola,Sarkidiornis,sylvicola,Anatidae,Anseriformes,pato-de-crista,Comb Duck,BR,False,False,False,False,,BR,Comb Duck,comduc3,True,binomial,False,Comb Duck,True,binomial,False,qwen/qwen3.7-plus,Southern Screamer,stop,False,"{""effort"": ""minimal""}",reasoning,39185,58,1808,1866,,southern screamer,comb duck,False,False,,3,intra_order,complete
CBRO#0095,Callonetta leucophrys,Callonetta,leucophrys,Anatidae,Anseriformes,marreca-de-coleira,Ringed Teal,BR,False,False,False,False,,BR,Ringed Teal,rintea1,True,binomial,False,Ringed Teal,True,binomial,False,qwen/qwen3.7-plus,Ringed Teal,stop,False,"{""effort"": ""minimal""}",reasoning,6962,59,271,330,,ringed teal,ringed teal,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0097,Amazonetta brasiliensis,Amazonetta,brasiliensis,Anatidae,Anseriformes,marreca-ananaí,Brazilian Teal,BR,False,False,False,False,,BR,Brazilian Teal,bratea1,True,binomial,False,Brazilian Teal,True,binomial,False,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,13684,58,628,686,,brazilian teal,brazilian teal,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0110,Spatula versicolor,Spatula,versicolor,Anatidae,Anseriformes,marreca-cricri,Silver Teal,BR,False,False,False,False,W,"BR, VI (W)",Silver Teal,siltea1,True,binomial,False,Silver Teal,True,binomial,False,qwen/qwen3.7-plus,Blue-winged Teal,stop,False,"{""effort"": ""minimal""}",reasoning,17036,58,824,882,,blue winged teal,silver teal,False,False,,1,intra_genus,complete
CBRO#0115,Spatula platalea,Spatula,platalea,Anatidae,Anseriformes,marreca-colhereira,Red Shoveler,BR,False,False,False,False,S,"VI (S), BR",Red Shoveler,redsho1,True,binomial,False,Red Shoveler,True,binomial,False,qwen/qwen3.7-plus,Rosy-billed Pochard,stop,False,"{""effort"": ""minimal""}",reasoning,26565,58,2771,2829,,rosy billed pochard,red shoveler,False,False,,2,intra_family,complete
CBRO#0112,Spatula discors,Spatula,discors,Anatidae,Anseriformes,marreca-de-asa-azul,Blue-winged Teal,VI,False,False,False,False,N,VI (N),Blue-winged Teal,buwtea,True,binomial,False,Blue-winged Teal,True,binomial,False,qwen/qwen3.7-plus,Blue-winged Teal,stop,False,"{""effort"": ""minimal""}",reasoning,15295,61,595,656,,blue winged teal,blue winged teal,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0113,Spatula cyanoptera,Spatula,cyanoptera,Anatidae,Anseriformes,marreca-colorada,Cinnamon Teal,VA,False,False,False,False,S,VA (S),Cinnamon Teal,cintea,True,binomial,False,Cinnamon Teal,True,binomial,False,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,15025,57,718,775,,brazilian teal,cinnamon teal,False,False,,2,intra_family,complete
CBRO#0101,Mareca sibilatrix,Mareca,sibilatrix,Anatidae,Anseriformes,marreca-oveira,Chiloe Wigeon,VI,False,False,False,False,S,VI (S),Chiloe Wigeon,chiwig1,True,binomial,False,Chiloe Wigeon,True,binomial,False,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,17444,58,692,750,,brazilian teal,chiloe wigeon,False,False,,2,intra_family,complete
CBRO#0107,Anas bahamensis,Anas,bahamensis,Anatidae,Anseriformes,marreca-toicinho,White-cheeked Pintail,BR,False,False,False,False,,BR,White-cheeked Pintail,whcpin,True,binomial,False,White-cheeked Pintail,True,binomial,False,qwen/qwen3.7-plus,Ringed Teal,stop,False,"{""effort"": ""minimal""}",reasoning,29435,58,1551,1609,,ringed teal,white cheeked pintail,False,False,,2,intra_family,complete
CBRO#0104,Anas acuta,Anas,acuta,Anatidae,Anseriformes,arrabio,Northern Pintail,VA,False,False,False,False,N;E,"VA (N?, E?)",Northern Pintail,norpin,True,binomial,False,Northern Pintail,True,binomial,False,qwen/qwen3.7-plus,Red-cowled Cardinal,stop,False,"{""effort"": ""minimal""}",reasoning,27125,55,1249,1304,,red cowled cardinal,northern pintail,False,False,,4,hallucinated,complete
CBRO#0105,Anas georgica,Anas,georgica,Anatidae,Anseriformes,marreca-parda,Yellow-billed Pintail,BR,False,False,False,False,W,"BR, VI (W)",Yellow-billed Pintail,yebpin1,True,binomial,False,Yellow-billed Pintail,True,binomial,False,qwen/qwen3.7-plus,Yellow-billed Teal,stop,False,"{""effort"": ""minimal""}",reasoning,34491,57,1082,1139,,yellow billed teal,yellow billed pintail,False,False,,1,intra_genus,complete
CBRO#0102,Anas flavirostris,Anas,flavirostris,Anatidae,Anseriformes,marreca-pardinha,Yellow-billed Teal,BR,False,False,False,False,,BR,Yellow-billed Teal,yebtea1,True,binomial,False,Yellow-billed Teal,True,binomial,False,qwen/qwen3.7-plus,Brazilian Teal,stop,False,"{""effort"": ""minimal""}",reasoning,18274,58,736,794,,brazilian teal,yellow billed teal,False,False,,2,intra_family,complete
CBRO#0117,Netta erythrophthalma,Netta,erythrophthalma,Anatidae,Anseriformes,paturi-preta,Southern Pochard,BR,False,False,False,False,,BR,Southern Pochard,soupoc1,True,binomial,False,Southern Pochard,True,binomial,False,qwen/qwen3.7-plus,Tropical Kingbird,stop,False,"{""effort"": ""minimal""}",reasoning,43498,56,1806,1862,,tropical kingbird,southern pochard,False,False,,4,hallucinated,complete
CBRO#0119,Netta peposaca,Netta,peposaca,Anatidae,Anseriformes,marrecão,Rosy-billed Pochard,BR,False,False,False,False,W,"VI (W), BR",Rosy-billed Pochard,robpoc1,True,binomial,False,Rosy-billed Pochard,True,binomial,False,qwen/qwen3.7-plus,Brazilian teal,stop,False,"{""effort"": ""minimal""}",reasoning,17760,55,714,769,,brazilian teal,rosy billed pochard,False,False,,2,intra_family,complete
CBRO#0121,Mergus octosetaceus,Mergus,octosetaceus,Anatidae,Anseriformes,pato-mergulhão,Brazilian Merganser,BR,False,False,False,False,,BR,Brazilian Merganser,bramer1,True,binomial,False,Brazilian Merganser,True,binomial,False,qwen/qwen3.7-plus,Brazilian Merganser,stop,False,"{""effort"": ""minimal""}",reasoning,12604,58,375,433,,brazilian merganser,brazilian merganser,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0123,Heteronetta atricapilla,Heteronetta,atricapilla,Anatidae,Anseriformes,marreca-de-cabeça-preta,Black-headed Duck,BR,False,False,False,True,W,"BR, VI# (W)",Black-headed Duck,blhduc1,True,binomial,False,Black-headed Duck,True,binomial,False,qwen/qwen3.7-plus,Black-headed duck,stop,False,"{""effort"": ""minimal""}",reasoning,16380,61,533,594,,black headed duck,black headed duck,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0125,Nomonyx dominicus,Nomonyx,dominicus,Anatidae,Anseriformes,marreca-caucau,Masked Duck,BR,False,False,False,False,,BR,Masked Duck,masduc,True,binomial,False,Masked Duck,True,binomial,False,qwen/qwen3.7-plus,Ringed teal,stop,False,"{""effort"": ""minimal""}",reasoning,63212,58,3006,3064,,ringed teal,masked duck,False,False,,2,intra_family,complete
CBRO#0127,Oxyura vittata,Oxyura,vittata,Anatidae,Anseriformes,marreca-rabo-de-espinho,Lake Duck,VI,False,False,False,True,S,VI# (S),Lake Duck,lakduc1,True,binomial,False,Lake Duck,True,binomial,False,qwen/qwen3.7-plus,Northern Pintail,stop,False,"{""effort"": ""minimal""}",reasoning,23640,61,913,974,,northern pintail,lake duck,False,False,,2,intra_family,complete
CBRO#0131,Penelope marail,Penelope,marail,Cracidae,Galliformes,jacumirim,Marail Guan,BR,False,False,False,False,,BR,Marail Guan,margua1,True,binomial,False,Marail Guan,True,binomial,False,qwen/qwen3.7-plus,Speckled Chachalaca,stop,False,"{""effort"": ""minimal""}",reasoning,26188,55,913,968,,speckled chachalaca,marail guan,False,False,,2,intra_family,complete
CBRO#0134,Penelope superciliaris,Penelope,superciliaris,Cracidae,Galliformes,jacupemba,Rusty-margined Guan,BR,False,False,False,False,,BR,Rusty-margined Guan,rumgua1,True,binomial,False,Rusty-margined Guan,True,binomial,False,qwen/qwen3.7-plus,Crested Guan,stop,False,"{""effort"": ""minimal""}",reasoning,65675,56,5724,5780,,crested guan,rusty margined guan,False,False,,4,hallucinated,complete
CBRO#0141,Penelope jacquacu,Penelope,jacquacu,Cracidae,Galliformes,jacu-de-spix,Spix's Guan,BR,False,False,False,False,,BR,Spix's Guan,spigua1,True,binomial,False,Spix's Guan,True,binomial,False,qwen/qwen3.7-plus,Spixs Guan,stop,False,"{""effort"": ""minimal""}",reasoning,33990,57,3498,3555,,spixs guan,spixs guan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0145,Penelope obscura,Penelope,obscura,Cracidae,Galliformes,jacuguaçu,Dusky-legged Guan,BR,False,False,False,False,,BR,Dusky-legged Guan,dulgua1,True,binomial,False,Dusky-legged Guan,True,binomial,False,qwen/qwen3.7-plus,Dusky-legged Guan,stop,False,"{""effort"": ""minimal""}",reasoning,23353,56,936,992,,dusky legged guan,dusky legged guan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0148,Penelope pileata,Penelope,pileata,Cracidae,Galliformes,jacupiranga,White-crested Guan,BR,True,False,False,False,,"BR, En",White-crested Guan,whcgua1,True,binomial,False,White-crested Guan,True,binomial,False,qwen/qwen3.7-plus,Dusky-legged guan,stop,False,"{""effort"": ""minimal""}",reasoning,37441,56,1731,1787,,dusky legged guan,white crested guan,False,False,,1,intra_genus,complete
CBRO#0149,Penelope ochrogaster,Penelope,ochrogaster,Cracidae,Galliformes,jacu-de-barriga-castanha,Chestnut-bellied Guan,BR,True,False,False,False,,"BR, En",Chestnut-bellied Guan,chbgua1,True,binomial,False,Chestnut-bellied Guan,True,binomial,False,qwen/qwen3.7-plus,Chestnut-bellied Guan,stop,False,"{""effort"": ""minimal""}",reasoning,23361,61,1217,1278,,chestnut bellied guan,chestnut bellied guan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0150,Penelope jacucaca,Penelope,jacucaca,Cracidae,Galliformes,jacucaca,White-browed Guan,BR,True,False,False,False,,"BR, En",White-browed Guan,whbgua1,True,binomial,False,White-browed Guan,True,binomial,False,qwen/qwen3.7-plus,Speckled Chachalaca,stop,False,"{""effort"": ""minimal""}",reasoning,8132,55,369,424,,speckled chachalaca,white browed guan,False,False,,2,intra_family,complete
CBRO#0152,Aburria cumanensis,Aburria,cumanensis,Cracidae,Galliformes,jacutinga-de-garganta-azul,Blue-throated Piping-Guan,BR,False,False,False,False,,BR,Blue-throated Piping-Guan,butpig1,True,epithet_family,False,Blue-throated Piping Guan,True,epithet_family,True,qwen/qwen3.7-plus,Blue-throated Piping Guan,stop,False,"{""effort"": ""minimal""}",reasoning,29447,62,1298,1360,,blue throated piping guan,blue throated piping guan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0155,Aburria cujubi,Aburria,cujubi,Cracidae,Galliformes,cujubi,Red-throated Piping-Guan,BR,False,False,False,False,,BR,Red-throated Piping-Guan,rtpgua1,True,epithet_family,False,Red-throated Piping Guan,True,epithet_family,True,qwen/qwen3.7-plus,Red-rumped cacique,stop,False,"{""effort"": ""minimal""}",reasoning,15596,55,618,673,,red rumped cacique,red throated piping guan,False,False,,4,hallucinated,complete
CBRO#0158,Aburria jacutinga,Aburria,jacutinga,Cracidae,Galliformes,jacutinga,Black-fronted Piping-Guan,BR,False,False,False,False,,BR,Black-fronted Piping-Guan,bfpgua1,True,epithet_family,False,Black-fronted Piping Guan,True,epithet_family,True,qwen/qwen3.7-plus,Black fronted piping guan,stop,False,"{""effort"": ""minimal""}",reasoning,36021,55,1859,1914,,black fronted piping guan,black fronted piping guan,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0160,Ortalis canicollis,Ortalis,canicollis,Cracidae,Galliformes,aracuã-do-pantanal,Chaco Chachalaca,BR,False,False,False,False,,BR,Chaco Chachalaca,chacha1,True,binomial,False,Chaco Chachalaca,True,binomial,False,qwen/qwen3.7-plus,White-bellied Nothura,stop,False,"{""effort"": ""minimal""}",reasoning,24785,59,905,964,,white bellied nothura,chaco chachalaca,False,False,,4,hallucinated,complete
